pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_unsplit_ada,pi_unsplit_ada,f_half_ada,pi_half_ada,pi_split_sum_ada,delta_pi_ada,split_increases_pi,split_decreases_pi,f_unsplit_c50_ada,pi_unsplit_c50_ada,f_half_c50_ada,pi_half_c50_ada,pi_split_sum_c50_ada,delta_pi_c50_ada,split_increases_pi_c50,split_decreases_pi_c50
pool18cr7st8wvagllpgq23y70ncnejux2dmxrsdc45hyalk67e63jg6,XSY,20809.410436,2000.0,2097.62183,340.0,0.01,True,6.180329870672695,6.180329870672695,3.0901541265789163,3.0901541265789163,6.180308253157833,-2.1617514862626308e-05,False,True,6.180329870672695,6.180329870672695,3.0901541265789163,3.0901541265789163,6.180308253157833,-2.1617514862626308e-05,False,True
pool18cx6qhjeynrsd7pvcrv7e3y65ksyzguaep2427zumc8t2qzxvsk,NINJZ,34305.277598,2000.0,2027.006993,340.0,0.0,True,10.18856322493362,10.18856322493362,5.094263048391644,5.094263048391644,10.188526096783288,-3.712815033196648e-05,False,True,10.18856322493362,10.18856322493362,5.094263048391644,5.094263048391644,10.188526096783288,-3.712815033196648e-05,False,True
pool18dmncsu0wwzfnje42udk3eeld3z0zwjpjxname3lp8a9kpah28w,BOS,3311.70978,400.0,401.42091,340.0,0.0,True,0.9835619136409973,0.9835619136409973,0.49178062219124935,0.49178062219124935,0.9835612443824987,-6.692584986200956e-07,False,True,0.9835619136409973,0.9835619136409973,0.49178062219124935,0.49178062219124935,0.9835612443824987,-6.692584986200956e-07,False,True
pool18dqp26atwr6rd7z6suxjmguqy8zym5a3tgtveuazqsjwyeafrz6,,266.665872,100.0,266.665872,345.0,0.018,True,0.07919839577966024,0.07919839577966024,0.03959919310132425,0.03959919310132425,0.0791983862026485,-9.577011739203556e-09,False,True,0.07919839577966024,0.07919839577966024,0.03959919310132425,0.03959919310132425,0.0791983862026485,-9.577011739203556e-09,False,True
pool18e0uhtm4pspfrnktwguypytjfgwz6dw6zzn3gulpdjfx7qd0439,MINES,57117.17667,1.0,517.019464,170.0,0.01,True,16.96350437827633,16.96350437827633,8.481752172728068,8.481752172728068,16.963504345456137,-3.282019278572079e-08,False,True,16.96350437827633,16.96350437827633,8.481752172728068,8.481752172728068,16.963504345456137,-3.282019278572079e-08,False,True
pool18e48wynvkevefs0c5yuh705u6tpy0m4xflg506kp0r6vga9gkmr,,497.62535,4000.0,497.62535,345.0,0.05,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool18e545ehldchd8qr8qx7q7m5dljzaky2twxrynx2z29ru2mt6pv4,BD4,26458.304953,200.0,202.0,340.0,0.08,True,7.857984954269853,7.857984954269853,3.9289909682699546,3.9289909682699546,7.857981936539909,-3.0177299441547234e-06,False,True,7.857984954269853,7.857984954269853,3.9289909682699546,3.9289909682699546,7.857981936539909,-3.0177299441547234e-06,False,True
pool18en4vtxkjt3u5x6ctu9l3nqmr6pm3r7akxgu84450xdvkr4j827,EQITY,5533.647768,3000.0,3500.428917,340.0,0.03,True,1.643473333760343,1.643473333760343,0.8217344827699798,0.8217344827699798,1.6434689655399597,-4.368220383410559e-06,False,True,1.643473333760343,1.643473333760343,0.8217344827699798,0.8217344827699798,1.6434689655399597,-4.368220383410559e-06,False,True
pool18fldcktken22hfd3tyx8qwes46lv6jhv43jhns8gg24k2rta4al,,7357.461182,1000.0,1212.621566,340.0,0.01,True,2.1851349994370035,2.1851349994370035,1.0925656731101407,1.0925656731101407,2.1851313462202815,-3.6532167220215683e-06,False,True,2.1851349994370035,2.1851349994370035,1.0925656731101407,1.0925656731101407,2.1851313462202815,-3.6532167220215683e-06,False,True
pool18fw3qgzt4u094hn8kf82n6jye5y96csamj0f20dja8tnq4ad0hy,,10.843473,1000.0,10.843473,340.0,0.05,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,SBP1,70059328.471079,0.0,9.434153,340.0,1.0,True,20807.256064597193,20807.256064597193,10403.628032298597,10403.628032298597,20807.256064597193,0.0,False,False,20807.256064597193,20807.256064597193,10403.628032298597,10403.628032298597,20807.256064597193,0.0,False,False
pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,GCD,35009505.975753,0.0,0.0,340.0,0.05,True,10397.641134017556,842.8820567008779,5198.820567008778,582.941028350439,1165.882056700878,323.0,True,False,10397.641134017556,681.3820567008779,5198.820567008778,421.44102835043896,842.8820567008779,161.5,True,False
pool18gysxqfwz4j8rm3vlh6677vs9n23prvfr7gwe88mhn5uudgx9ng,EUR,4488232.76333,30000.0,39482.281475,170.0,0.0194,True,1333.1355478939174,202.5982518055938,666.5293245355352,183.9158226050082,367.8316452100164,165.2333934044226,True,False,1333.1355478939174,119.98047751307273,666.5293245355352,101.29804831248714,202.59609662497428,82.61561911190155,True,False
pool18heqrjtge2emf2hes4mdxkr76y99zztkqk4qtjr9dul0vuur0yu,RX78,2071215.345644,10000.0,103469.164205,170.0,0.0,True,615.163873382194,192.23850552767823,307.5760134447789,176.87271613534762,353.74543227069523,161.506926743017,True,False,615.163873382194,111.48474625581962,307.5760134447789,96.118956863489,192.237913726978,80.75316747115839,True,False
pool18hk4akqtnktgsptxll625lksugwpc4r30nzjgz4pxtufqgw5gdd,,9.823059,100.0,587113.361733,340.0,0.04,True,0.00291738705393865,0.00291738705393865,0.001458696117849974,0.001458696117849974,0.002917392235699948,5.1817612978233285e-09,True,False,0.00291738705393865,0.00291738705393865,0.001458696117849974,0.001458696117849974,0.002917392235699948,5.1817612978233285e-09,True,False
pool18hpttrmc7v6nhjcywhdpymwzxv3y9kujzc5ne53jjdlf6hxa7cv,5FOLD,754163.765269,25000.0,65724.03412,340.0,0.01,True,224.0036713174327,224.0036713174327,111.99659562233552,111.99659562233552,223.99319124467104,-0.010480072761652082,False,True,224.0036713174327,175.19929761475868,111.99659562233552,111.99659562233552,223.99319124467104,48.79389362991236,True,False
pool18j287g2sccele52hhxc0csk2ghfghwndqm9yahdqnhjks840wtq,APE,2622795.543385,25000.0,1081.182005,340.0,0.025,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
