pool_id,pool_ticker,sigma_ada,f_ada_a0_0.3,fixed_cost_ada,margin,desirability_ada
pool12kdg7dmdfh0t9hmy43pvl38ftu5dvppyn86wgkc4jq8557xkyz7,RENEW,184656.933092,54.8486451042,170.0,0.0,0.0
pool12ktz62g9d32nq0cdk9jyyqg6kquj7lnmx776at5h598supql0t2,CTEC2,7464030.535472,2216.9048280036,680.0,0.5,768.4524140018
pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el,EVERS,39421087.918967,11707.9258121241,400.0,0.04,10855.608779639135
pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr,POP4,4122221.288075,1224.5281037972,340.0,0.05,840.3016986073399
pool12m0v0myprg2nfvlymzaghvjrzhnlzkh2psn3sur2nhkj5wpkdmh,DAPP,363054.558046,107.8257714306,170.0,0.0,0.0
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,,28840311.622564,8565.4225070283,340.0,0.05,7814.151381676884
pool12mca6l778v2e5wq5a4kc08h6grcv9j6f7yykt9wyjttckfxksvg,,1014.271248,0.3012332838,340.0,0.01,0.0
pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,13287132.57218,3947.1343350718,340.0,0.01,3571.0629917210817
pool12mvua605f7w2gs90d580ywzyyf96je0y5q6zwcz2l76tcdqa8y9,,507.423329,0.1507020888,340.0,0.005,0.0
pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANT,1419735.920231,421.8090968938,340.0,0.0,81.80909689380002
pool12ndf7w5f4fdn746s5zlay4aexvcsjncnnmjwfp8falascjqav3y,SAMON,528154.948533,156.8823174253,170.0,0.031415,0.0
pool12nhydvz643puda5jjc7hxyphk9685n8tlsgeenfvtttckd803e5,,581.187987,0.1726098094,340.0,0.075,0.0
pool12p0qtp89dfzr6spqq4xl6ha2s9m8lqydnvfafyd0h38fy0hfv3f,PANDA,45059.513161,13.3824431485,500.0,0.0,0.0
pool12pk63q22re4up2dg86tyjwthuauqu0ryq3jlxs9v29zk68cpugl,0AKN0,189140.724848,56.1754783478,170.0,0.0,0.0
pool12plmfgtqk4nj0wse5wnr49xth22fjacxm0gxg3wc88ewzztpwf5,AMPLE,3707.804452,1.1011990466,340.0,0.0199,0.0
pool12pupdkq80hxxcje94kjgc75x9vsqsgaz65upnmx7k7zmvc3rpd5,,0.0,0.0,340.0,0.04,0.0
pool12pvaxxcv3sgad5jqgfnggn337y76kp02uauptkufjjjes7nxwfm,SVRN,812448.451732,241.4043661852,170.0,0.016,70.2618963262368
pool12pwp8hln0cjsxv0h2a0463qsakkhwetfhyqw7vzmpwd2jdj86n6,KAP,823870.099593,244.8500351162,340.0,0.01,0.0
pool12qj3qpa2ca3jq8nj6p5psjrx7xu7dvjm25xra5s0sxxps4qx7c8,,24.517029,0.0072814301,340.0,0.03,0.0
pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7,IOGP,1.48148,0.0004399919,500.0,1.0,0.0
pool12qrgswlflndwp3met59zmuclqp4wryn4e9428gm7n8vwymnhvng,VALOR,15586.226058,4.6290900373,340.0,0.0437,0.0
pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,ASAHI,7432589.983611,2207.9178904181,340.0,0.0,1867.9178904181
pool12r08n33avu33ncstukwxyr440mgaazmuclay38v0yt34xytu2dq,FALCO,301142.139289,89.4630739792,340.0,0.02,0.0
pool12rruj0mjqzaf8ryg7ny0x77y80lpdxd7zh4kgg5zyy0r2rzue0q,INFAR,6058.690105,1.7994096653,340.0,0.015,0.0
pool12rs385dd534g8gtdtmnvlhq63whdvc6vnuzxa5cpx843zdy73qy,TERA2,8659698.887615,2571.8934802191,340.0,0.01,2209.574545416909
pool12rt30v5khmh2y9nap3ffe6envd89lq9qf8f4usr0enwwzzwktsu,BRAZL,559.966054,0.1663070058,340.0,0.0,0.0
pool12rv575nj9cfvy0r4th7jtz5x3nt6waht0qe5fdr58ucx77tk7pu,4BIZ,6160.723066,1.8297060319,340.0,0.01,0.0
pool12t3wyzzmg5ms5tzz7w6evedrf7mh07m875r6dfk8xpmgzjc3d9g,,347.887492,0.1033208037,345.0,0.15,0.0
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,56274024.656517,16713.8042630263,340.0,0.0,16373.8042630263
pool12te7g032e9dqjqe5xsr05mrk7xs9ve4w6t275cda7e9quafr3zq,,134.520635,0.0399519287,340.0,0.075,0.0
pool12tlu3dm864fzxgcjp9jrsykcmcvxskjtqwy07z982avqx3n9dp2,,41.825743,0.0124220281,345.0,0.0,0.0
pool12tvj2j05hh6gtsvw349vuesyn0zphh75u7vadh5rkjs566s2ty5,,1145.957833,0.3403435234,340.0,0.0,0.0
pool12u28yewx8ycf6dj77lzpj6vvhjwp6veh6kxpc63h8fqnqqtlwmu,NOOPS,398101.799172,118.2701035364,340.0,0.0,0.0
pool12udshcl3ycj4qpxes28n0ugsye23h89rj8z2a5ast4482m08xe7,QQQ,22941073.963435,6815.1264122225,35000.0,0.9999,0.0
pool12v7aukl49ehf9ysagq960ek26jeywnq3yzv5hgl4ecvhvyax5p6,WIN,0.0,0.0,340.0,0.0,0.0
pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,34510916.686131,10288.5865210337,340.0,0.04,9550.643060192351
pool12vx0utf438rpxskmvwm870vpz6qnur39jzl7gs3hhhldqekzjea,FELIZ,2039.980436,0.6058645098,340.0,0.0,0.0
pool12welhs4qhsdskajhxxgf3c6afew73jys05jr2d4hu6asvv9expc,CYPH,701.766282,0.2084209355,340.0,0.02,0.0
pool12wpfng6cu7dz38yduaul3ngfm44xhv5xmech68m5fwe4wu77udd,APEX,3090889.533082,918.1560641446,200.0,0.02,703.792942861708
pool12x6z2am9fxpw7s8wfjpsdd4jm2v5wdj62fshv00ztpxr6jy3ztp,MIAS,593.799895,0.1763555352,345.0,0.01,0.0
pool12xxugucen5pql0ay70uakgqjaxpwfj6c9py8euyu4q3p23s0fyg,BNP,59154.059521,17.5694540169,345.0,0.06,0.0
pool12xyhj4ktuhy0gage20p3e6z6r3s0tun7lmsk89lxv4y5wh93t0g,,568.163192,0.168741513,340.0,0.075,0.0
pool12yfqjghmn47qajajqduf2rd83qxtdhva8j0qdctmla4v5w3mhq4,,2816.791026,0.8365722804,340.0,0.005,0.0
pool12yscr8j3zs34ewxrwlk0p2w5uvgcnrzywpp78ddjsj8kxd530f9,GERO,1019436.482155,302.8936430364,340.0,0.01,0.0
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,BRAVO,52078500.731109,15491.1402475071,340.0,0.015,14923.873143794493
pool12zcqkql458zh0pxvpw9qad8mceccdatk2lm0cpxfql557lhve8y,,923.691183,0.27433149,340.0,0.0,0.0
pool12zgtcv0cu5caet8y2tna9l0jhthr46zpwh49dh0g4ew05st2t2w,PAL,218.615274,0.064927599,340.0,0.015,0.0
pool12znadsadf2h4v6xhf8jwqc6grjxsrdn6f53h5esrkaj5qjtjnfs,,0.0,0.0,340.0,0.02,0.0
pool130c3kgpkjctag540j7sxqfrlhsmpc6d8u0n7j6crm9ayy75mkpt,TOIRO,17676307.036279,5250.156105666,20000.0,0.9999,0.0
pool130hx49xrg3cjtdqnqegmn03z8fgu6juenyctws0feh6ekdy0fam,RAVEN,17826.954257,5.2945491249,340.0,0.05,0.0
pool130sxcuaxh2yc4chs68c4jsep4v7zfhgdqutm60ngdvt9sa2ga06,,3074.969867,0.9132518941,340.0,0.02,0.0
pool130u9tm5kzsjkzlt4zq989s33fne5n9qahkdcmamh688wzrk78g6,HAUS,697.439961,0.2071360399,340.0,0.02,0.0
pool1329xugchyesx3zzm96nylqlpz78cauzhgvlxawtll0pt7gnyul7,,627.115849,0.1862501614,340.0,1.0,0.0
pool133p3wvahj3gzh6cv9ac0ka9pgmltrzs6lt269aumqlkpzhkd9re,AVI8,489186.7363,145.2969595665,340.0,0.0189,0.0
pool134d4ndkh0q43mykqh922k0khrrkm7rlpkj834ju6kwja6dmu2f6,BNP,130330.213471,38.707658152,345.0,0.06,0.0
