pool_id,pool_ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,declared_fixed_cost_ada,margin,pledge_met,ratio_k500,category_k500,ratio_k1000,category_k1000
pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,CAN1,6368382.236304,40000.0,107042.7494,200.0,0.0,True,0.30823224074231687,losing_025_050,0.3082388489765809,losing_025_050
pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w,FREE1,501185.996294,300000.0,410840.45644,170.0,0.0,True,0.20094107797802738,losing_lt_025,0.20103737856215992,losing_lt_025
pool12f68ksfmsthe4r9xx2up9x4zx43tstu3psmjvk57papsv8vu9re,,1093.094791,1000.0,1093.094791,340.0,0.0,True,0.00043804979863266746,losing_lt_025,0.0004380499430606442,losing_lt_025
pool12fvqhdv6wx77zkjdq06k5ylzswd06w7yavt8fd6sm5pwk30k9l4,,0.0,100000.0,0.0,360.0,0.05,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12fzerww0hmk0fyvaujz5t2kg6hl4n8daz85rqy5jk8qk58r59y6,ZETE2,102085.687836,1000.0,2438.264057,170.0,0.0,True,0.04091024125040264,losing_lt_025,0.04091039801042205,losing_lt_025
pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0,NDE,114243.911768,2000.0,3373.193811,340.0,0.03,True,0.04578275095038973,losing_lt_025,0.04578309909178402,losing_lt_025
pool12h408zlkavwxw4wkw96mt8unjs8sn27k0yk4yhz4pzvsx0wvmq5,,579.88263,0.0,2.201398,340.0,0.075,True,0.00023238367584185447,losing_lt_025,0.00023238367584185447,losing_lt_025
pool12hhrd4azpps5jxppcqs2pgtylatg7xkhaqmnetgv2988k3t4drf,YAM,6208.049253,500.0,500.0,340.0,0.0249,True,0.002487834256477115,losing_lt_025,0.002487838682315199,losing_lt_025
pool12hszgt63rau649xhfuy4mjmdukzpy0atyskd7hujl7zdxjv7e8c,,7.304864,0.0,7.304864,340.0,1.0,True,2.9273702298081127e-06,losing_lt_025,2.9273702298081127e-06,losing_lt_025
pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,IOGP,2.925923,64000000.0,2.925923,500.0,1.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12jzydsj2yjjn59zefvgz2q47rvfk950xckm5x4ejcdvucueg5c8,ZILLA,51.006764,20.0,0.0,340.0,0.02,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12kdg7dmdfh0t9hmy43pvl38ftu5dvppyn86wgkc4jq8557xkyz7,RENEW,184656.933092,30000.0,38708.382315,170.0,0.0,True,0.07400709856478492,losing_lt_025,0.07401430334695089,losing_lt_025
