epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
285,44,pool1s2gxepqa5r6qzze05x3vxunt24cmqth2d2lmfrtudfqcg5c78kw,BNP,65818809863005.0,2000000.0,3198408701.0,1
285,45,pool1k3qcz2ruwtgv0vduu6jhzu7d7uu6ca7sxz7lc3sxzwxay98k842,BNP,65814752067147.0,2000000.0,3372605560.0,1
285,46,pool1cxl0gk32hwe6sckdmy2zydkl7wrk8npjay0u3u5zsglwvkqmjen,BNP,65770172250046.0,2000000.0,3021583987.0,1
285,47,pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,,65743219989378.0,0.0,0.0,1
285,48,pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0,PPCX2,65528791245025.0,1000000000000.0,1003089414873.0,2
285,49,pool1swuyjknhewtqcmh583jjpvlcl0p9h9hrt5l2f3v2hl6gchqrn40,ETO4,65484093421115.0,0.0,0.0,3
285,50,pool1u99x2rr6trfznwakv0959llmxmtgc2nvanc067uugl3ejuvvnc8,,65447178218821.0,7000000000000.0,7063494856781.0,1
285,51,pool155cu3s06js3llfh07vnzepatfuvt3s5s7uwldt9rzz55wz7pugt,SPS,65168816939353.0,10000000000.0,35899214751.0,1
285,52,pool150n38x8gquu4yt5s0s6m3ajjqe89y68x96dh32tq8a4es2l6dvp,ETO1,65156541518791.0,0.0,0.0,3
285,53,pool1vz9eysr66jhsrt9h2zqmc42hr2ucfdtt0v597uxwdc24gqsjyw6,,65148991308954.0,64000000000000.0,65148991308954.0,1
285,54,pool1jzk8rwf2fs5l02dmm6pm5tnw9stmd8jpmvsy54085vu2u2656re,ETO11,65000027647561.0,0.0,0.0,3
285,55,pool19066qvd5dv6vq7fh5a5l7muzk6nc5fw8zq3w4tclyrhvjvlyeuc,ETO2,65000007358959.0,0.0,0.0,3
285,56,pool19l206haluae6wyzm7tjpt3gln9paa5m9s4fedec2u09fqz300ht,ETO10,64999997816010.0,0.0,0.0,3
285,57,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,64948626982877.0,500000000000.0,2002810550000.0,4
285,58,pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0,ELITE,64508155897322.0,500000000000.0,2004138727804.0,4
285,59,pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,SUNNY,64447980364315.0,520000000000.0,521501900000.0,1
285,60,pool155efqn9xpcf73pphkk88cmlkdwx4ulkg606tne970qswczg3asc,IOGP,64328684743223.0,64000000000000.0,64328591517480.0,1
285,61,pool1gpzkwf3ntp7ky6yvyky8q6qu4dyup5y6v4pxzn56yut8sqp6k53,IOGP,64328597689869.0,64000000000000.0,64328591517480.0,1
285,62,pool1h5uycju7n5puxn2ckfkpza550rf6jk4twr6ef0hsmxft78ajt6q,IOGP,64328594017480.0,64000000000000.0,64328594017480.0,1
285,63,pool1nee5kmpzv0qfz7lu258fe9ylgxh68lsqqdmjgw7jnheej3usn35,IOGP,64328591517480.0,64000000000000.0,64328591517480.0,1
285,64,pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7,IOGP,64328591517480.0,64000000000000.0,64328591517480.0,1
285,65,pool1xppj5zu9kmuqk05u6dtd3dmtj7fl25cvjyzsc95gmfyjywaslnp,MS3,64293632311777.0,100000000000.0,105599070675.0,1
285,66,pool1750p8pnt7dp86xs7jlkrcm3zue3d8gps4sngzts3rj2v7vrz7ul,,64051853427206.0,63000000000000.0,64051853427206.0,1
285,67,pool17e2p709fg8vk60py86hqrl4gwnttuspm9hfvv46jgh0xuf72jqx,,64035727317418.0,63000000000000.0,64035727317418.0,1
285,68,pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,64007308692907.0,63900000000000.0,64007308692907.0,4
285,69,pool1w69y40jqha8vnpsg0fhn26vym2z6cwur3r06dpqw8nw0wrsmdns,,64006542100350.0,63000000000000.0,64006542100350.0,1
285,70,pool1kp7au7kju3v23yth6nsse4jhxzweud48nmc7m6akpdq57ztq4zv,,63942858901003.0,63000000000000.0,63942858901003.0,1
285,71,pool150tmra3wtm5vhwpn7ndku3djcw030mkvr54ph7gvgp7ugeq0m5m,,63932609897109.0,63000000000000.0,63932609897109.0,1
285,72,pool1328ql2v48e4q93eml8r5w8qgcg8yqe7ved90la3qrjmw7pnty9l,,63931807434024.0,63000000000000.0,63931807434024.0,1
285,73,pool1gxu8g9fke4yydpaycwkumsrjz88uuq72tpe8yy3ndtx9uy9fv3j,,63924989109888.0,63000000000000.0,63924989109888.0,1
