pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_ada_a0_0p3,pi_ada_a0_0p3,U_ada_a0_0p3,coverage_ratio_a0_0p3,category_a0_0p3,f_ada_a0_0p6,pi_ada_a0_0p6,U_ada_a0_0p6,coverage_ratio_a0_0p6,category_a0_0p6,delta_U_ada,delta_r
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5097.623546,5000.0,5097.623546,340.0,0.0,True,1.513968235073548,1.513968235073548,-739.5971428760377,0.0020428356994995397,losing_lt_025,1.2300996483170865,1.2300996483170865,-739.8810114627942,0.0016598046229166082,losing_lt_025,-0.28386858675651183,-0.00038303107658293144
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,8648242.326177,100.0,1040.369948,340.0,0.2,True,2568.483971331955,785.9112607594361,44.80014964832492,1.0604499770367202,edge,2086.8940342373694,689.5469257310126,-51.56418538009859,0.930423138167783,losing_075_100,-96.36433502842351,-0.13002683886893718
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,,0.0,16451.0,0.0,340.0,0.02,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,8631852.650929,100000.0,100002.076047,170.0,0.03,True,2564.5971261946447,268.74763442074567,-472.36347669036553,0.36262799247177074,losing_025_050,2084.5328751163984,248.9508975728746,-492.1602135382366,0.33591575384645744,losing_025_050,-19.796736847871045,-0.0267122386253133
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,6192.921948,45000.0,7.442557,340.0,0.025,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,2136.948271,66000.0,2.081122,345.0,0.019,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,1.0,100025.042945,1.0,340.0,0.03,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,1475.994327,100.0,247.63965,170.0,0.08,True,0.43836279423264873,0.43836279423264873,-740.6727483168786,0.0005914940252014749,losing_lt_025,0.35616989879907923,0.35616989879907923,-740.7549412123121,0.00048058906884433476,losing_lt_025,-0.08219289543353625,-0.00011090495635714018
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,2.91521,10000.0,2.91521,340.0,0.02,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,1216672.604799,200000.0,204998.65838,340.0,0.01,True,361.579836013765,343.8154512489252,-397.29565986218597,0.4639188997361809,losing_025_050,293.97406859797076,293.97406859797076,-447.13704251314044,0.3966666592776217,losing_025_050,-49.84138265095447,-0.06725224045855921
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,4678.355731,330000.0,700.014847,340.0,0.01,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,2452.995576,0.0,2452.995576,340.0,0.018,True,0.7285269240944239,0.7285269240944239,-740.3825841870167,0.0009830198376086679,losing_lt_025,0.5919281258267194,0.5919281258267194,-740.5191829852845,0.0007987036180570425,losing_lt_025,-0.13659879826775523,-0.00018431621955162538
