pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,Ouros,6076311.463663,340422.257946,0.000156751577,0.000008781927,14966501.840557,38763957566.434639,77527915.132869,500,2133.6360913295,1806.8873708465,1802.7497239639,1766.3508754482,1708.8627547016,1620.9786160889,1541.7388189791,1469.9277528483
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,Blockchain Better Have My Money 💰,7036434.076718,551023.402420,0.000181520013,0.000014214839,14966501.840557,38763957566.434639,77527915.132869,500,2471.3754629354,2093.9229338231,2089.1432202925,2047.0961163017,1980.6871750894,1879.1654603627,1787.6294880681,1704.6750131761
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,StandardBlockProducer,360.524775,5.893313,0.000000009301,0.000000000152,14966501.840557,38763957566.434639,77527915.132869,500,0.1265419803,0.1070739849,0.1068274600,0.1046587825,0.1012335863,0.0959973669,0.0912761854,0.0869976147
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,ADA Labo,3460141.279960,1439.881162,0.000089261817,0.000000037145,14966501.840557,38763957566.434639,77527915.132869,500,1214.4905691572,1027.6496818598,1025.2836997874,1004.4701732853,971.5974156706,921.3436597768,876.0328962661,834.9700168344
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,Input Output Global (IOHK) - Private,0.000000,0.000000,0.000000000000,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,,247.210196,247.210196,0.000000006377,0.000000006377,14966501.840557,38763957566.434639,77527915.132869,500,0.0867692588,0.0734201421,0.0732511011,0.0717640486,0.0694154071,0.0658249550,0.0625876621,0.0596538654
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,,124124.412269,0.000000,0.000003202057,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,43.5669055227,36.8643046731,36.7794290675,36.0327790038,34.8535244182,33.0507559138,31.4253089016,29.9522475469
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,John Von Neumann Pool,139.818659,139.818659,0.000000003607,0.000000003607,14966501.840557,38763957566.434639,77527915.132869,500,0.0490754896,0.0415254143,0.0414298071,0.0405887508,0.0392603917,0.0372296818,0.0353987138,0.0337393991
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,KURIS JAPAN,2278562.468341,34747.281659,0.000058780440,0.000000896381,14966501.840557,38763957566.434639,77527915.132869,500,799.7967305612,676.8108418629,675.2534610774,661.5531940168,639.9150752534,606.8361120862,577.0108174273,549.9816441427
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,Sparkle,38230.184169,8576.795501,0.000000986230,0.000000221257,14966501.840557,38763957566.434639,77527915.132869,500,13.4186747439,11.3544581314,11.3283187806,11.0983711081,10.7351931477,10.1799900588,9.6793971099,9.2257347499
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,WAAUS,2697137.476281,40865.975291,0.000069578486,0.000001054226,14966501.840557,38763957566.434639,77527915.132869,500,946.7278416170,801.1606167296,799.3172865603,783.1015249203,757.4904492634,718.3378853282,683.0363932554,651.0444160645
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,,112074.806511,88771.874447,0.000002891212,0.000002290062,14966501.840557,38763957566.434639,77527915.132869,500,39.3385096889,33.2880249210,33.2114071169,32.5374008708,31.4728794906,29.8455077254,28.3782053142,27.0484625040
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,StakePool Service No.2,24708911.645490,26172.056006,0.000637419737,0.000000675165,14966501.840557,38763957566.434639,77527915.132869,500,8672.9686268422,7339.1608677280,7322.2707464499,7173.6884765597,6939.0185399937,6580.2702461630,6256.8086697583,5963.6716161415
