pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_base_k500_c_declared,D_base_k500_c_declared,f_A_k1000_c_declared,D_A_k1000_c_declared,f_B_k1000_c170,D_B_k1000_c170,f_C_k500_c75,D_C_k500_c75,f_D_k1000_c75,D_D_k1000_c75
pool155cu3s06js3llfh07vnzepatfuvt3s5s7uwldt9rzz55wz7pugt,SPS,11417148.837871,10000.0,21014.578424,0.05,340.0,True,True,3390.9649187043506,0.00025386519120737083,3391.0960653743073,0.00025387610368107403,3391.0960653743073,0.00026802149166658403,3390.9649187043506,0.0002759153548318423,3391.0960653743073,0.0002759262673055455
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,WPBJ1,74951829.703625,50000000.0,56413347.161157,0.04,340.0,True,False,26471.730794555715,0.00033470112286745413,14966.501840556852,0.00018733954624533297,14966.501840556852,0.0001895169447244005,26471.730794555715,0.00033809530284952997,14966.501840556852,0.0001907337262274088
pool155x3l57d4xu52t93f9r55cqaysej4pc2dl3jkc9d6w5ckyu6u7n,SPRO,179868.552514,5000.0,31149.342096,0.02,340.0,True,True,53.42102921009939,0.0,53.422034242658405,0.0,53.422034242658405,0.0,53.42102921009939,0.0,53.422034242658405,0.0
pool15676jwlm6gancffzs2jg9vf5xwzmspyktw75dl4kaucyst4qt8q,RAMA,37647.583461,4000.0,31625.049779,1.0,335.0,True,True,11.181291108221858,0.0,11.181445812052573,0.0,11.181445812052573,0.0,11.181291108221858,0.0,11.181445812052573,0.0
pool1568zhphxsnj5mfszwgta5zlvulu67g8f4jn6d3xs2tvas8ffu76,PSPJ,1018557.39768,10000.0,21953.012277,0.9999,20000.0,True,True,302.5178402432523,0.0,302.5294355514647,0.0,302.5294355514647,1.3011484267191671e-08,302.5178402432523,2.233726255991579e-08,302.5294355514647,2.233840096490296e-08
pool156wg3relgtlhwu55z3wpqurtaprguefe9tzrakhuqyyc60553au,LAB44,1092804.399619,500000.0,545573.390862,0.01,340.0,True,True,324.9019093287964,0.0,325.25469705642564,0.0,325.25469705642564,0.00014064927826008822,324.9019093287964,0.00022639265574128734,325.25469705642564,0.0002267122553425286
pool1570hpvwg22nm8uat505mj5hm6p6z26528nuwvrr7r5nh6yavdqt,,1.0,15000.0,1.0,0.01,360.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1570nv2jeglcq92gg0qmkyl5dwg92mj4374j4c7eagx47kdm0r4l,,12753.419841,1000.0,0.0,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool15723rmfj9yw88yj3vjhh4f82xlwkqrwthmgw79zt6v7ukx3zv2y,,0.0,100.0,0.182428,0.05,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool15730lwmu7vrffkl40wtjrnctsfd840fl5jmuw230r0d65a74k5e,,942.823411,200.0,942.823411,0.005,345.0,True,True,0.2800138186626904,0.0,0.28001398940133737,0.0,0.28001398940133737,0.0,0.2800138186626904,0.0,0.28001398940133737,0.0
pool157dwm0l9jf2h59me75slfww8dylcnumdgjvhpsyhfmlry4cn44a,ASY,223122.65508,100.0,1768.477312,0.03,170.0,True,True,66.26629336952442,0.0,66.26631900035348,0.0,66.26631900035348,0.0,66.26629336952442,0.0,66.26631900035348,0.0
