pool_id,ticker,sigma_ada,pledge_met,unsaturated_k500,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C,r_D,category_D
pool1hg9yyezrm6dslw9q767n5tlu0qk2ccvd4k9946vv7ymgvsvnttf,,97.623898,True,True,3.9122055211845664e-05,losing_lt_025,3.17866698596246e-05,losing_lt_025,3.17866698596246e-05,losing_lt_025,3.9122055211845664e-05,losing_lt_025,3.17866698596246e-05,losing_lt_025
pool1hgksl8y3637f88zhet6g8j8seq2kzp6v2qt4ct2maxaxzt0pmmj,FMSP,1099.622807,True,True,0.00044066617331086586,losing_lt_025,0.00035804164356581546,losing_lt_025,0.00035804164356581546,losing_lt_025,0.00044066617331086586,losing_lt_025,0.00035804164356581546,losing_lt_025
pool1hhlzudyzp80xch7r0vamq58hpdnspagutvgqwptsmr0tk2425vf,,572.91521,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hht4pctn70tqdsd0zwuxv8d8cz6l5scjzaquty7vamyzy78eqvc,ACL,16793849.264494,True,True,0.8095434950231506,losing_075_100,0.7398306372935495,losing_050_075,0.523237223532016,losing_050_075,0.4719125853360541,losing_025_050,0.402199727606453,losing_025_050
pool1hjjj584gq0ynqf06g036a4a0stpm90asrdfskpasqjxf5948ygv,,3320030.176579,True,True,0.8053037955826569,losing_075_100,0.7074548153312069,losing_050_075,0.5688762848560636,losing_050_075,0.5892843216066981,losing_050_075,0.49143534135524813,losing_025_050
pool1hjlkmtquuanfvvumfwsu395gdrmt36kda0x6wwwpz4kqctg5lyy,STARS,59.742229,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hjpax8lf2hmct63xxrspe9zzmmywcrzw89yg3nacu0axzy0latu,GG63,5480986.646416,True,True,0.5266530412934325,losing_050_075,0.5105673364061888,losing_050_075,0.29014249312494694,losing_025_050,0.18304960911973178,losing_lt_025,0.16696390423248816,losing_lt_025
pool1hjszxsd493fmr99g2d8evnqlrlurscu00n8jv9mz8qm42f7jvln,RAINF,16188.245142,True,True,0.00648734306219379,losing_lt_025,0.005270985356790634,losing_lt_025,0.005270985356790634,losing_lt_025,0.00648734306219379,losing_lt_025,0.005270985356790634,losing_lt_025
pool1hjz482dskv7vvc3wpmgwy2avx784c26xq8v5pc8dm0ne6shyfzr,SCENE,1.006318,True,True,4.032744969543636e-07,losing_lt_025,3.2766052877542046e-07,losing_lt_025,3.2766052877542046e-07,losing_lt_025,4.032744969543636e-07,losing_lt_025,3.2766052877542046e-07,losing_lt_025
pool1hk58eyf4gtm54rx3nl7p236wtm2c68dmg2femcrqg9z6qeajcc9,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hkklrx9ac7w57d79mnv76rxlgq4acg5ecwhyep7k3zn0u5cz2k9,AZUR3,16984294.133972,True,True,0.8385605313234941,losing_075_100,0.7628377809969451,losing_075_100,0.5471493912216007,losing_050_075,0.5023403943207514,losing_050_075,0.4266176439942023,losing_025_050
pool1hkpgddlnya3pgktj3sxdraa8x8400vhaphcudvym9ye22esak43,ISP,12439004.677756,True,True,0.9406898526721374,losing_075_100,0.8437511488721946,losing_075_100,0.6260791261979696,losing_050_075,0.608135373586516,losing_050_075,0.5111966697865732,losing_050_075
pool1hkr5zcthjvcn3ffncc4jqk5ctxxfrk37h7uddqnvxd4cu872nrt,PONTA,5834841.959916,True,True,2.338270672596811,comfortable,1.8998456566320132,edge,1.8996788387148624,edge,2.3380472709636493,comfortable,1.899666037629203,edge
pool1hkumvckq9l79akgge54ugnxa4n86s63j6jvhmvx5g7cgz7nc6cs,PMAN,231369.385939,True,True,0.09271957047890451,losing_lt_025,0.07533465101410992,losing_lt_025,0.07533465101410992,losing_lt_025,0.09271957047890451,losing_lt_025,0.07533465101410992,losing_lt_025
pool1hl9tn0qpujfss69h6jr3wepc0e7tuczchpfu7nu4ma006u5scfw,HISTK,6707.636362,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hlu9mdmcf0m9mqkq7apxsyalhd2nr07rqyhh8mgra3wzkva2d3p,LBP,262058.400758,True,True,0.10501800684974466,losing_lt_025,0.08532716357081196,losing_lt_025,0.08532716357081196,losing_lt_025,0.10124643849063142,losing_lt_025,0.08532716357081196,losing_lt_025
pool1hm55kzfkyll747qqwe5wnlqlu75kt9hm36nj0eruhez7wqyd58p,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hmgufw0zuwtf5h4nudugkvu9qgk8zefrz70tv4ng4vhq5frzeuf,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hmmt5a9vyjtkz0tk6ywyyuhumt57hts5m89m9avgyyupveaejfr,AOTA,11001559.45062,True,True,0.4596064808722919,losing_025_050,0.45943155335477326,losing_025_050,0.23009478633778657,losing_lt_025,0.10211093228698917,losing_lt_025,0.10193600476947048,losing_lt_025
