pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,D_base_k500_a0_0p3,D_A_k1000_a0_0p3,D_B_k1000_a0_0p6,D_C_k500_a0_0p6,f_base,f_A,f_B,f_C
pool19tz0rwsnzmsw602rauwhzrsgk4qx55qzhkmxfqe04s6vuu37ptw,,76829401.182537,True,False,0.0,0.0,0.0,0.0,29537.967106718144,14966.501840556852,14966.501840556853,29459.626442658155
pool19u2lzwnmkz3gqqmx9sahhys8nqvwzkl8dqu7m474m0zsj3acjfj,,532.61831,True,True,0.0,0.0,0.0,0.0,0.15818488032399539,0.15818489358706647,0.12852524758864495,0.12852522603615446
pool19upjnw6s32kyfrv863nxu08yw6fyvjz7j3p4c3zl95arytp068x,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19ut4284xy9p82dd0cglzxweddfqw73yennkjk6mmp650chnr6lz,ELEMT,190819.952135,True,True,0.0,0.0,0.0,0.0,56.68299873124438,56.69352101284849,46.08053856514712,46.063439857540445
pool19uynx6nxcdksmaqdcshjg487fap3rs3axyhrdqa7gdqgzgxss4y,JAPAN,3235225.509302,True,True,0.000182360357285631,0.00018241420829494915,0.0001295792797637943,0.00012949177187365234,961.0282945009476,961.2116841420506,781.2823067040082,780.9842985372161
pool19v4jgpxxl72eaq8pefctatvts3gkhtyzd8nwvzskkm3mkdv2tpy,ONLY,5381102.130214,True,True,0.0002600958271668492,0.00026009695325959336,0.00020552556683682208,0.0002055237369361127,1598.1655200278617,1598.171703313642,1298.5245566521053,1298.5145088127122
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,ATAD2,59980523.776819,True,False,0.00028988484828250085,0.0001863210884774214,0.00015188699078488778,0.00023567507681927002,17903.075792876876,11628.521694487647,9542.284103194394,14618.701564405928
pool19x60wat4eu8sh42s05th8l4p6e9rmmnc6g2a64lj4npag7zj5cx,SNODE,2000.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19xhza3f7nye6j5p6stsnkpvadejztnqvck0ge3l2uy9gvsvy05f,ARUBA,174.968922,True,True,0.0,0.0,0.0,0.0,0.051964859539060645,0.051964859539060645,0.04222144837548678,0.04222144837548678
pool19xyfanyp28j6j07dxgwdjp0wur6seqmyyu64qgzstzl7s47pvpj,VLHLA,201940.874744,True,True,0.0,0.0,0.0,0.0,59.97652091926576,59.977652808709436,48.73368210581177,48.7318427854658
