pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_current_k500_c_declared,apr_current_k500_c_declared,f_gt_c_current,f_A_k1000_c_declared,apr_A_k1000_c_declared,f_gt_c_A,f_B_k1000_c170,apr_B_k1000_c170,f_gt_c_B,f_C_k500_c75,apr_C_k500_c75,f_gt_c_C,f_D_k1000_c75,apr_D_k1000_c75,f_gt_c_D
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,59250169.612026,0.0,62076.302338,0.03,340.0,True,False,17502.528295384363,0.020510972990522916,False,11461.538461538461,0.013291373571050443,False,11461.538461538461,0.01349454092194283,False,17502.528295384363,0.020827675037502224,False,11461.538461538461,0.013608075618029753,False
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,386060.336469,2000.0,3562.115547,0.02,340.0,True,True,114.04328431127664,0.0,False,114.04416158259505,0.0,False,114.04416158259505,0.0,False,114.04328431127664,0.007235025968157225,True,114.04416158259505,0.007235188533394291,True
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,273183.412202,100.0,106.922142,1.0,170.0,True,True,80.69854113514552,0.0,False,80.69857232172357,0.0,False,80.69857232172357,0.0,False,80.69854113514552,0.0,True,80.69857232172357,0.0,True
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,2211.906006,2000.0,2142.939953,0.03,340.0,True,True,0.6533985707543678,0.0,False,0.6533990551434565,0.0,False,0.6533990551434565,0.0,False,0.6533985707543678,0.0,False,0.6533990551434565,0.0,False
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,79971298.819684,100.0,4880.056634,0.05,340.0,True,False,22923.085785091196,0.01958373844505559,False,11461.547323552735,0.009644451425347375,False,11461.547323552735,0.009791873065035666,False,22923.085785091196,0.019813542765746157,False,11461.547323552735,0.009874255746037945,False
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,ADAFS,100.79721,10000.0,2.641293,0.04,345.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,300000.0,300050.979323,0.0,170.0,True,True,3395.147311273747,0.02050771070186901,True,3399.023358021485,0.02053235728005527,True,3399.023358021485,0.02053235728005527,True,3395.147311273747,0.021111786214905996,True,3399.023358021485,0.021136432793092262,True
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,11309160.587532,35000.0,37477.294161,0.029,340.0,True,True,3341.1822554737732,0.0188106623978157,True,3341.6335001074845,0.018813490686716873,True,3341.6335001074845,0.019879008317909137,True,3341.1822554737732,0.02047161635232128,True,3341.6335001074845,0.02047444464122246,True
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,39.46004,30.0,38.297271,1.0,345.0,True,True,0.011656514915698914,0.0,False,0.0116565152398049,0.0,False,0.0116565152398049,0.0,False,0.011656514915698914,0.0,False,0.0116565152398049,0.0,False
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,100.0,101.008551,0.03,340.0,True,True,0.08610121710635495,0.0,False,0.08610123897290668,0.0,False,0.08610123897290668,0.0,False,0.08610121710635495,0.0,False,0.08610123897290668,0.0,False
